index;action;page_viewed_1;page_viewed_2;page_viewed_5;page_viewed_8;page_viewed_11;page_viewed_14;page_viewed_17;open_type_cookie;page_viewed_7;Q5_q5a1;page_viewed_15;page_viewed_10;page_viewed_4;Q2_q2a2;page_viewed_13;Q4_q4a1;page_viewed_12;Q1_q1a2;Q3_q3a2;page_viewed_3;page_viewed_9;Q2_q2a1;page_viewed_6;Q3_q3a1;Q1_q1a1;page_viewed_16;Q1_q1a3;Q4_q4a2;Q4_q4a3;Q3_q3a3;Q5_q5a2;Q2_q2a3;Q5_q5a3;click2button_click2link;like_dislike_like;system_favorite;system_share;like_dislike_dislike;system_optout_CREATIVE;like_dislike_unknown;session_start;session_end
10;page_viewed_15;5.876476464711759e-05;2.9382382323558796e-05;0.0;5.876476464711759e-05;8.814714697067639e-05;0.0055532702591526125;0.8726861373920197;0.0004995004995004995;8.814714697067639e-05;0.003114532526297232;2.9382382323558796e-05;2.9382382323558796e-05;2.9382382323558796e-05;2.9382382323558796e-05;0.00011752952929423518;0.0006757947934418522;0.00023505905858847037;0.00041135335252982314;0.00020567667626491157;5.876476464711759e-05;2.9382382323558796e-05;0.00026444144091202913;5.876476464711759e-05;2.9382382323558796e-05;0.0003232062055591467;8.814714697067639e-05;0.00023505905858847037;0.00026444144091202913;0.0003232062055591467;2.9382382323558796e-05;0.0003819709702062643;5.876476464711759e-05;0.00020567667626491157;0.040283246165599106;0.006846095081389199;0.001116530528295234;0.0003232062055591467;0.00026444144091202913;0.00011752952929423518;2.9382382323558796e-05;0.0;0.06472938825880002
11;page_viewed_10;0.0;9.739943508327652e-05;6.493295672218434e-05;0.005129703581052563;0.4018700691535989;0.005259569494496932;0.0006493295672218434;0.0010713937859160418;0.00012986591344436868;0.0013960585695269635;0.0003246647836109217;6.493295672218434e-05;6.493295672218434e-05;0.0005843966104996591;0.003571312619720139;0.2450245121911626;0.0028895165741372035;0.0006493295672218434;0.02990162657056589;9.739943508327652e-05;0.003603779098081231;0.0012337261777215025;3.246647836109217e-05;0.001915522223304438;0.0006817960455829356;6.493295672218434e-05;0.0004545306970552904;0.13986558877958508;0.13077497483847927;0.0016233239180546085;0.0003246647836109217;0.00029219830524982956;0.00016233239180546085;0.0;0.0003246647836109217;3.246647836109217e-05;3.246647836109217e-05;0.0;6.493295672218434e-05;6.493295672218434e-05;0.0;0.019609752930099672
12;page_viewed_4;0.0005248827215169111;0.004100646261850868;0.3628251812485648;0.013614145589344881;0.0015418429944559263;0.0002952465308532625;0.00032805170094806944;0.0037725945609027984;0.0038053997309976054;0.00019683102056884165;0.0;0.00013122068037922776;6.561034018961388e-05;0.26578748810812586;3.280517009480694e-05;0.0006889085719909457;0.0;0.035757635403339566;0.00590493061706525;0.003936620411376833;6.561034018961388e-05;0.15300331332217956;0.002066725715972837;0.003936620411376833;0.002690023947774169;3.280517009480694e-05;0.002329167076731293;0.0002952465308532625;0.0002952465308532625;0.003903815241282026;3.280517009480694e-05;0.07669848768165863;9.841551028442082e-05;0.0;0.001115375783223436;0.00016402585047403472;0.00026244136075845553;6.561034018961388e-05;3.280517009480694e-05;0.00016402585047403472;0.0;0.04943739133287406
13;Q2_q2a2;3.5503798906482997e-05;0.0008520911737555919;0.525065682027977;0.010012071291628205;0.0004970531846907619;0.00014201519562593199;7.100759781296599e-05;0.00010651139671944898;0.4452531420862032;0.0;0.0;0.00046154938578427893;0.0005325569835972449;0.0;7.100759781296599e-05;7.100759781296599e-05;0.0;0.00042604558687779593;0.0038344102819001633;0.00039054178797131293;0.00028403039125186397;0.0023432507278278777;0.00028403039125186397;0.003940921678619612;0.00028403039125186397;0.0;0.00010651139671944898;0.00010651139671944898;3.5503798906482997e-05;0.0019882127387630478;7.100759781296599e-05;3.5503798906482997e-05;0.0;0.0;0.00039054178797131293;0.00014201519562593199;3.5503798906482997e-05;3.5503798906482997e-05;0.0;0.00010651139671944898;0.0;0.0019882127387630478
14;page_viewed_13;0.0;3.913434821743044e-05;0.0;0.00011740304465229132;0.0024654639376981177;0.40891480452393064;0.006339764411223731;0.0007826869643486088;0.00011740304465229132;0.34716080303682545;0.004930927875396235;0.0001956717410871522;0.0;7.826869643486087e-05;7.826869643486087e-05;0.027237506359331587;0.0026220013305678393;0.00023480608930458264;0.0009392243572183305;0.0;7.826869643486087e-05;0.0003130747857394435;0.0;0.0001956717410871522;0.0001956717410871522;0.0022697921966109654;0.0;0.001878448714436661;0.001330567839392635;0.00023480608930458264;0.1073455171604117;0.0;0.06641098892497946;0.00027394043752201305;0.0001956717410871522;0.0;0.0;0.0;0.0;0.0;0.0;0.017023441474582242
15;Q4_q4a1;0.0;8.137358613394092e-05;0.00012206037920091139;0.00036618113760273415;0.519326226706811;0.00878834730246562;0.0005289283098706159;4.068679306697046e-05;4.068679306697046e-05;0.007771177475791358;0.0009764830336072911;0.0012612905850760843;0.0;0.0;0.0018309056880136709;0.0;0.45259988607697943;0.0;4.068679306697046e-05;0.0;0.00024412075840182277;0.0;8.137358613394092e-05;8.137358613394092e-05;0.0;0.00028480755146879325;4.068679306697046e-05;4.068679306697046e-05;0.00012206037920091139;4.068679306697046e-05;0.002034339653348523;0.0;0.0010171698266742614;0.00012206037920091139;0.00028480755146879325;4.068679306697046e-05;0.0;0.0;0.0;4.068679306697046e-05;0.0;0.0017495321018797297
16;page_viewed_12;0.0;8.165264962848044e-05;0.0;0.0002041316240712011;0.0021637952151547317;0.4120192700253123;0.005674859149179391;0.0006532211970278435;4.082632481424022e-05;0.3949538662529599;0.0049399853025230665;0.00012247897444272066;0.0;0.0002041316240712011;0.0;0.002082142565526251;4.082632481424022e-05;0.0002041316240712011;0.0009798317955417653;4.082632481424022e-05;0.00016330529925696088;0.0004899158977708826;0.0;0.0002449579488854413;0.00012247897444272066;0.00183718461664081;0.0002041316240712011;0.0010206581203560056;0.0004899158977708826;0.0004490895729566424;0.09655425818567813;4.082632481424022e-05;0.05838164448436352;0.0004082632481424022;0.0002041316240712011;0.0;0.0;0.0;0.0;0.0;0.0;0.014983261206826162
17;Q1_q1a2;0.0016160310277957336;0.47866839043309634;0.010434943208052452;0.0011543078769969525;9.234463015975621e-05;0.0;4.6172315079878107e-05;0.00023086157539939053;0.0008311016714378059;4.6172315079878107e-05;0.0;4.6172315079878107e-05;0.0031858897405115895;0.007341398097700618;0.0;0.0;9.234463015975621e-05;0.0;9.234463015975621e-05;0.483701172776803;4.6172315079878107e-05;0.005171299288946348;0.00027703389047926865;0.00023086157539939053;9.234463015975621e-05;0.0;0.00013851694523963433;0.00013851694523963433;0.0;0.00027703389047926865;0.0;0.0016622033428756117;0.0;0.0;0.002170098808754271;0.00013851694523963433;9.234463015975621e-05;0.0;0.0;4.6172315079878107e-05;0.0;0.0019392372333548805
18;Q3_q3a2;0.0;0.0;0.00032411909061443717;0.5045145159049867;0.009723572718433115;0.0003704218178450711;0.00018521090892253554;0.0;0.00041672454507570494;0.00023151363615316943;4.6302727230633885e-05;0.003472704542297541;0.0;0.00013890818169190166;0.00041672454507570494;0.0050469972681390935;0.00032411909061443717;4.6302727230633885e-05;0.0;0.0;0.4657128304857156;9.260545446126777e-05;0.00046302727230633885;9.260545446126777e-05;4.6302727230633885e-05;9.260545446126777e-05;4.6302727230633885e-05;0.003241190906144372;0.0029170718155299346;0.0;9.260545446126777e-05;4.6302727230633885e-05;9.260545446126777e-05;9.260545446126777e-05;0.0005093299995369727;0.0;4.6302727230633885e-05;0.0;0.0;4.6302727230633885e-05;0.0;0.0011112654535352132
19;page_viewed_3;0.00041685965724872626;0.0026401111625752663;0.37707271885132004;0.007364520611394164;0.0008800370541917554;0.0003242241778601204;0.00018527095877721167;0.0018063918480778138;0.005511811023622047;9.263547938860583e-05;0.0;0.0003242241778601204;0.0002315886984715146;0.2762389995368226;0.0;0.0004631773969430292;4.631773969430292e-05;0.0018990273274664196;0.003242241778601204;0.0;0.0004631773969430292;0.19092172301991664;0.00333487725798981;0.002315886984715146;0.002362204724409449;0.0;0.001157943492357573;4.631773969430292e-05;0.00018527095877721167;0.0017600741083835109;0.0;0.08967114404817045;4.631773969430292e-05;0.0;0.0018527095877721167;0.0003242241778601204;0.0002315886984715146;4.631773969430292e-05;4.631773969430292e-05;4.631773969430292e-05;0.0;0.026447429365446966
